epoch,train_loss,test_loss,mse_loss,text_visual_loss,visual_flava_loss,learning_rate
1,582.6065253026737,425.53369993600785,582.6065253026737,4.153006880920126,4.153392531116556,0.0005
2,398.10485498653435,317.844120001941,398.10485498653435,4.152771810567157,4.153407324915347,0.0004998766647634146
3,315.81271684539985,209.9554990211629,315.81271684539985,4.152372761542753,4.154373337763436,0.0004995067807706464
4,232.16745042504732,222.8866661498265,232.16745042504732,4.152698234001302,4.153060772404167,0.0004988907130525397
5,215.00441974142322,166.6978100131017,215.00441974142322,4.1527770987208585,4.153272424425397,0.0004980290695935537
6,212.52747946792508,200.61386733914014,212.52747946792508,4.15253077826885,4.153065583720711,0.0004969227007317545
7,219.2348820467173,170.23888297702956,219.2348820467173,4.1519180321545335,4.153051953878462,0.0004955726983196356
8,191.53115010705793,154.61986138953927,191.53115010705793,4.1525863816279065,4.152804313979534,0.0004939803946465898
9,205.21329668886173,167.46548916834482,205.21329668886173,4.152095331168323,4.15314077146305,0.0004921473611241012
10,185.2404918789123,149.44872734117212,185.2404918789123,4.152283840297912,4.153113699847867,0.0004900754067349518
11,168.60513864837077,148.41245663092002,168.60513864837077,4.152624974339645,4.152899123126676,0.00048776657624797354
12,173.32998780434176,151.68020610927795,173.32998780434176,4.152479478291103,4.153153850425104,0.00048522314820010856
13,163.66050928720037,137.49755987321367,163.66050928720037,4.152546970000178,4.1529675833186745,0.0004824476326477683
14,153.81865251434516,144.18032273002294,153.81865251434516,4.15242528323061,4.153235814586189,0.0004794427686897109
15,161.5714829723287,150.81005224381914,161.5714829723287,4.152574228203815,4.153455287032986,0.00047621152176388143
16,168.05662536621094,139.59987332361825,168.05662536621094,4.152228854457785,4.153278541861114,0.00047275708072088237
17,155.0830509825523,135.71897855012313,155.0830509825523,4.152311415405747,4.153156255342946,0.0004690828546769635
18,155.23101977235783,162.3941207790967,155.23101977235783,4.152132557045599,4.153463431767055,0.00046519246964963555
19,165.93150244292266,206.45621533127306,165.93150244292266,4.152683733412938,4.152982491143742,0.00046108976497922854
20,182.87968373742902,140.4667870183909,182.87968373742902,4.152396025864975,4.153703208295455,0.0004567787895399266
21,151.39065433288954,138.68227253789487,151.39065433288954,4.152615329493647,4.153371082329602,0.00045226379774401804
22,148.82400351577664,172.28735853870464,148.82400351577664,4.1527423488427395,4.153199657890367,0.00044754924534330366
23,150.78635136385142,137.12158174692473,150.78635136385142,4.152413754729751,4.153178411981334,0.00044263978503180843
24,151.28658100388805,143.45812850857374,151.28658100388805,4.1522146011731635,4.15318542978038,0.00043754026185413325
25,149.19077220466568,134.71095740276834,149.19077220466568,4.152265775277748,4.153188640286463,0.0004322557084239817
26,143.74542226850616,125.44279752458844,143.74542226850616,4.152202698014538,4.153383681492776,0.0004267913399575774
27,139.52910391292215,125.87170358029952,139.52910391292215,4.1522510570028555,4.153412839640742,0.0004211525491268756
28,135.32246043519203,118.5203122914948,135.32246043519203,4.15239489744909,4.15308605958216,0.00041534490073764663
29,130.44203835244505,115.30468295079581,130.44203835244505,4.152404751096453,4.1526248795645575,0.00040937412623768486
30,131.3262938505374,121.07945436276265,131.3262938505374,4.152586067685429,4.153154700439169,0.00040324611806056134
31,127.40912945670371,120.04098335408275,127.40912945670371,4.152209698043254,4.153102235024019,0.0003969669238105035
32,133.61752802688883,114.86968089038541,133.61752802688883,4.1522143168479015,4.153175063755201,0.0003905427402941399
33,127.81127763831097,110.51562590036333,127.81127763831097,4.152389935084751,4.152999720958449,0.00038397990740500005
34,125.04170700926218,112.60094259984746,125.04170700926218,4.152685785885923,4.15322406543708,0.00037728490186680517
35,120.34504003110139,107.51663046890164,120.34504003110139,4.152665278926399,4.152849754191333,0.0003704643308417236
36,120.18773504221662,108.721865778384,120.18773504221662,4.152446429921974,4.153194831765217,0.0003635249254098996
37,119.64509663078356,110.13583227122052,119.64509663078356,4.152574360000421,4.1532027040209085,0.0003564735339266898
38,120.52534475385772,112.63989082478588,120.52534475385772,4.152594946926425,4.152743064098477,0.0003493171152641633
39,123.62434500937137,116.21463079037873,123.62434500937137,4.152280381007224,4.152449193208114,0.00034206273194353526
40,118.29431645174205,106.51748055404758,118.29431645174205,4.1525546749186075,4.152920882894386,0.0003347175431653106
41,109.66286629623508,108.95411521011258,109.66286629623508,4.152112056009518,4.153032128114878,0.0003272887977440181
42,108.79036392780564,104.59231595815339,108.79036392780564,4.152433349479059,4.152781769355632,0.0003197838269545054
43,111.0038121857258,111.83994113140224,111.0038121857258,4.152614885235425,4.152822738848858,0.0003122100372968554
44,114.95263022665652,99.25454754562851,114.95263022665652,4.152772629483146,4.152882100632472,0.00030457490318706583
45,107.43830397706594,94.70715279904952,107.43830397706594,4.152876140167995,4.152869428907122,0.0002968859595807019
46,108.78226295613354,93.32376833139739,108.78226295613354,4.152734978598837,4.152930607706864,0.0002891507945368057
47,104.20482853480748,95.72861395415312,104.20482853480748,4.15268992341083,4.15243441125621,0.0002813770417293979
48,112.15356682250219,99.6450572991223,112.15356682250219,4.152782213613854,4.152884114603078,0.00027357237291396265
49,98.52359463709482,91.103822696283,98.52359463709482,4.153075683190956,4.152997207937774,0.0002657444903563519
50,94.78224727085659,90.09758445787133,94.78224727085659,4.1530600275312155,4.152857780456543,0.0002579011192315782
51,96.25125818667205,96.24839678462247,96.25125818667205,4.152883830277816,4.152842258074269,0.00025005000000000003
52,101.98416272749812,89.12489697948006,101.98416272749812,4.152858258774562,4.152740105338719,0.00024219888076842187
